user_id,item_name,rating
76561197970982479,Killing Floor,3
EndAtHallow,Killing Floor,3
76561198077432581,Killing Floor,3
76561198057958244,Killing Floor,1
46366536564574576346346546,Killing Floor,3
76561198070487821,Killing Floor,3
kruger287,Killing Floor,1
76561198053314010,Killing Floor,3
goddamnterrorists,Killing Floor,5
the1nchmonster,Killing Floor,5
gaaaaaayyyy,Killing Floor,3
76561198114969651,Killing Floor,5
76561198051082631,Killing Floor,3
76561198044038344,Killing Floor,3
76561198076539681,Killing Floor,5
Aperturenc,Killing Floor,2
Arimitage_Shanks,Killing Floor,5
AxeOfChaos,Killing Floor,3
76561198064135570,Killing Floor,3
DiamondSwordBeGod,Killing Floor,3
scyana4,Killing Floor,3
MattBowles,Killing Floor,5
76561198085097560,Killing Floor,5
76561198073198561,Killing Floor,3
johntheasian,Killing Floor,5
kennychan222,Killing Floor,3
pippymayne,Killing Floor,3
mistermooth,Killing Floor,3
76561198074301386,Killing Floor,5
76561198107093846,Killing Floor,3
watters81,Killing Floor,5
76561198072351366,Killing Floor,3
xupidah,Killing Floor,5
shez13,Killing Floor,3
fruity8,Killing Floor,3
RandomSounds,Killing Floor,3
LimitsAU,Killing Floor,3
kuhn_dog2323,Killing Floor,3
Coolmouse,Killing Floor,5
76561198058477537,Killing Floor,1
berkyjef,Killing Floor,3
Koreanpony,Killing Floor,3
adenbrazza,Killing Floor,3
76561198079345453,Killing Floor,5
76561198042993298,Killing Floor,3
76561198083104626,Killing Floor,5
DickTickler,Killing Floor,3
76561198066638174,Killing Floor,3
76561198084233046,Killing Floor,3
Rodey1,Killing Floor,3
EthanDennisMcKormick,Killing Floor,3
76561198099488712,Killing Floor,3
deathbycaffeinee,Killing Floor,5
theo8396,Killing Floor,5
Grizzle-_-99,Killing Floor,5
drkrise,Killing Floor,5
holyblade98,Killing Floor,3
Ghastkiller,Killing Floor,3
lmarcegb,Killing Floor,5
76561198064876158,Killing Floor,3
LordMemestar,Killing Floor,3
76561198044416353,Killing Floor,5
karlmarx420,Killing Floor,3
76561198005781441,Killing Floor,3
krisz2412,Killing Floor,3
76561198033167818,Killing Floor,3
76561197989053217,Killing Floor,3
76561198126883516,Killing Floor,3
76561198071991173,Killing Floor,5
AndogZAR,Killing Floor,3
pharonmix,Killing Floor,1
drftkinG,Killing Floor,3
76561198073062456,Killing Floor,3
nexoses,Killing Floor,5
76561198088009683,Killing Floor,3
76561198056790377,Killing Floor,3
YourNormalAverageGuy,Killing Floor,5
76561198095997286,Killing Floor,5
PhoenixRave,Killing Floor,5
76561198085105930,Killing Floor,5
QuackSauce195,Killing Floor,5
76561198065725333,Killing Floor,5
SoulJamboree,Killing Floor,5
76561198041472663,Killing Floor,1
sogogamer,Killing Floor,3
76561198041199233,Killing Floor,5
76561198086366362,Killing Floor,3
epic_doom,Killing Floor,1
76561198010465186,Killing Floor,5
76561198015460867,Killing Floor,3
kirkhammett1992,Killing Floor,1
KyleHoll,Killing Floor,3
controgopher,Killing Floor,3
wetwhistle,Killing Floor,3
ShadowSpectreZer0,Killing Floor,3
Dragonitesunite,Killing Floor,3
joaquinable,Killing Floor,3
76561198042760534,Killing Floor,3
76561198044602692,Killing Floor,1
76561198047478302,Killing Floor,3
darrylcheng,Killing Floor,3
76561198049951905,Killing Floor,3
76561198050351207,Killing Floor,3
Leonyx,Killing Floor,3
MrRugMan,Killing Floor,5
76561198054693295,Killing Floor,3
76561198055907480,Killing Floor,3
76561198056241117,Killing Floor,5
76561198057592648,Killing Floor,5
76561198057643805,Killing Floor,3
aussiedude101101,Killing Floor,5
bielzebu,Killing Floor,5
76561198063642749,Killing Floor,5
RAZERSTRIKE,Killing Floor,3
76561198071822951,Killing Floor,3
furtsan,Killing Floor,3
76561198078573640,Killing Floor,5
pono55,Killing Floor,3
76561198082955718,Killing Floor,3
keegan1232123,Killing Floor,5
OfficialBlanc,Killing Floor,1
duck0501,Killing Floor,3
ArtyBoomy,Killing Floor,1
76561198089288956,Killing Floor,3
76561198089905857,Killing Floor,3
76561198091612238,Killing Floor,2
kuaspereira,Killing Floor,3
76561198093153432,Killing Floor,3
76561198095862530,Killing Floor,5
death-hunter,Killing Floor,5
76561198081962345,Killing Floor,3
76561198092227136,Killing Floor,3
76561198007539695,Killing Floor,5
fintanboy,Killing Floor,1
23184798,Killing Floor,5
76561198081295657,Killing Floor,5
jz4012,Killing Floor,5
lone_cow,Killing Floor,5
bRNSHITUP,Killing Floor,3
76561198052266063,Killing Floor,3
Sadtaco,Killing Floor,1
76561197971124277,Killing Floor,5
76561198051582488,Killing Floor,5
